Unnamed: 0,Fabrikbasispreis,UVP,Unnamed: 1,Fabrikbasispreis.1,UVP.1
,Partie Rolle,,,Partie Rolle,
Artikel,€/Rolle €/Rolle,€/Rolle,Artikel,€/Rolle €/Rolle,€/Rolle
30688-1,"13,74 16,49","41,95",39424-3,"18,95 22,74","52,95"
30688-2,"13,74 16,49","41,95",39424-4,"18,95 22,74","52,95"
30688-6,"13,74 16,49","41,95",39425-1,"18,95 22,74","52,95"
30688-7,"13,74 16,49","41,95",39425-2,"18,95 22,74","52,95"
30688-9,"13,74 16,49","41,95",39425-3,"18,95 22,74","52,95"
30689-1,"13,74 16,49","41,95",39426-1,"18,95 22,74","52,95"
30689-4,"13,74 16,49","41,95",39426-2,"18,95 22,74","52,95"
30689-6,"13,74 16,49","41,95",39426-3,"18,95 22,74","52,95"
37178-1,"13,74 16,49","41,95",39426-4,"18,95 22,74","52,95"
37178-2,"13,74 16,49","41,95",39427-1,"18,95 22,74","52,95"
37178-3,"13,74 16,49","41,95",39427-2,"18,95 22,74","52,95"
37178-6,"13,74 16,49","41,95",39427-3,"18,95 22,74","52,95"
37178-7,"13,74 16,49","41,95",39428-1,"18,95 22,74","52,95"
37178-8,"13,74 16,49","41,95",39428-2,"18,95 22,74","52,95"
38903-1,"13,74 16,49","41,95",39428-3,"18,95 22,74","52,95"
38903-2,"13,74 16,49","41,95",39428-4,"18,95 22,74","52,95"
38903-3,"13,74 16,49","41,95",39429-1,"18,95 22,74","52,95"
38903-7,"13,74 16,49","41,95",39429-2,"18,95 22,74","52,95"
38903-8,"13,74 16,49","41,95",39429-3,"18,95 22,74","52,95"
38903-9,"13,74 16,49","41,95",39430-1,"18,95 22,74","52,95"
38904-2,"13,74 16,49","41,95",39430-2,"18,95 22,74","52,95"
38904-3,"13,74 16,49","41,95",39430-3,"18,95 22,74","52,95"
39097-1,"13,74 16,49","41,95",39430-4,"18,95 22,74","52,95"
39097-2,"13,74 16,49","41,95",39432-1,"18,95 22,74","52,95"
39097-3,"13,74 16,49","41,95",39432-2,"18,95 22,74","52,95"
39097-4,"13,74 16,49","41,95",39433-1,"18,95 22,74","52,95"
39097-5,"13,74 16,49","41,95",39433-2,"18,95 22,74","52,95"
39097-6,"13,74 16,49","41,95",39434-1,"18,95 22,74","52,95"
39098-1,"13,74 16,49","41,95",39434-2,"18,95 22,74","52,95"
39098-2,"13,74 16,49","41,95",39434-3,"18,95 22,74","52,95"
39413-1,"18,95 22,74","52,95",39435-1,"18,95 22,74","52,95"
39413-2,"18,95 22,74","52,95",39435-2,"18,95 22,74","52,95"
39413-3,"18,95 22,74","52,95",39435-3,"18,95 22,74","52,95"
39423-1,"18,95 22,74","52,95",39436-1,"18,95 22,74","52,95"
39423-2,"18,95 22,74","52,95",39436-2,"18,95 22,74","52,95"
39424-1,"18,95 22,74","52,95",39436-3,"18,95 22,74","52,95"
39424-2,"18,95 22,74","52,95",39436-4,"18,95 22,74","52,95"
